索引,地区,日期,新增确诊,新增死亡
0,阿富汗,2020/02/24,5,
1,阿富汗,2020/02/25,0,
2,阿富汗,2020/02/26,0,
3,阿富汗,2020/02/27,0,
4,阿富汗,2020/02/28,0,
5,阿富汗,2020/02/29,0,
6,阿富汗,2020/03/01,0,
7,阿富汗,2020/03/02,0,
8,阿富汗,2020/03/03,0,
9,阿富汗,2020/03/04,0,
10,阿富汗,2020/03/05,0,
11,阿富汗,2020/03/06,0,
12,阿富汗,2020/03/07,3,
13,阿富汗,2020/03/08,0,
14,阿富汗,2020/03/09,0,
15,阿富汗,2020/03/10,0,
16,阿富汗,2020/03/11,3,
17,阿富汗,2020/03/12,0,
18,阿富汗,2020/03/13,0,
19,阿富汗,2020/03/14,3,
20,阿富汗,2020/03/15,6,
21,阿富汗,2020/03/16,5,
22,阿富汗,2020/03/17,1,
23,阿富汗,2020/03/18,0,
24,阿富汗,2020/03/19,0,
25,阿富汗,2020/03/20,-2,
26,阿富汗,2020/03/21,0,
27,阿富汗,2020/03/22,10,
28,阿富汗,2020/03/23,6,1
29,阿富汗,2020/03/24,2,0
30,阿富汗,2020/03/25,32,0
31,阿富汗,2020/03/26,6,1
32,阿富汗,2020/03/27,11,0
33,阿富汗,2020/03/28,15,0
34,阿富汗,2020/03/29,8,2
35,阿富汗,2020/03/30,0,0
36,阿富汗,2020/03/31,52,0
37,阿富汗,2020/04/01,26,0
38,阿富汗,2020/04/02,43,0
39,阿富汗,2020/04/03,34,1
40,阿富汗,2020/04/04,1,0
41,阿富汗,2020/04/05,29,2
42,阿富汗,2020/04/06,38,0
43,阿富汗,2020/04/07,30,4
44,阿富汗,2020/04/08,56,3
45,阿富汗,2020/04/09,21,1
46,阿富汗,2020/04/10,77,0
47,阿富汗,2020/04/11,0,0
48,阿富汗,2020/04/12,34,3
49,阿富汗,2020/04/13,52,1
50,阿富汗,2020/04/14,58,3
51,阿富汗,2020/04/15,105,3
52,阿富汗,2020/04/16,24,4
53,阿富汗,2020/04/17,51,1
54,阿富汗,2020/04/18,63,0
55,阿富汗,2020/04/19,25,0
56,阿富汗,2020/04/20,63,3
57,阿富汗,2020/04/21,30,3
58,阿富汗,2020/04/22,66,0
59,阿富汗,2020/04/23,84,4
60,阿富汗,2020/04/24,50,0
61,阿富汗,2020/04/25,104,3
62,阿富汗,2020/04/26,133,6
63,阿富汗,2020/04/27,68,1
64,阿富汗,2020/04/28,172,10
65,阿富汗,2020/04/29,124,0
66,阿富汗,2020/04/30,0,0
67,阿富汗,2020/05/01,344,4
68,阿富汗,2020/05/02,298,8
69,阿富汗,2020/05/03,0,0
70,阿富汗,2020/05/04,0,0
71,阿富汗,2020/05/05,0,0
72,阿富汗,2020/05/06,755,23
73,阿富汗,2020/05/07,168,9
74,阿富汗,2020/05/08,171,1
75,阿富汗,2020/05/09,0,0
76,阿富汗,2020/05/10,839,14
77,阿富汗,2020/05/11,262,1
78,阿富汗,2020/05/12,303,7
79,阿富汗,2020/05/13,0,0
80,阿富汗,2020/05/14,372,9
81,阿富汗,2020/05/15,714,17
82,阿富汗,2020/05/16,349,15
83,阿富汗,2020/05/17,233,1
84,阿富汗,2020/05/18,437,4
85,阿富汗,2020/05/19,583,4
86,阿富汗,2020/05/20,490,10
87,阿富汗,2020/05/21,531,6
88,阿富汗,2020/05/22,540,12
89,阿富汗,2020/05/23,736,10
90,阿富汗,2020/05/24,716,7
91,阿富汗,2020/05/25,512,1
92,阿富汗,2020/05/26,737,1
93,阿富汗,2020/05/27,548,6
94,阿富汗,2020/05/28,637,9
95,阿富汗,2020/05/29,643,11
96,阿富汗,2020/05/30,784,2
97,阿富汗,2020/05/31,651,2
98,阿富汗,2020/06/01,656,15
99,阿富汗,2020/06/02,742,5
100,阿富汗,2020/06/03,775,24
101,阿富汗,2020/06/04,624,5
102,阿富汗,2020/06/05,1078,10
103,阿富汗,2020/06/06,582,18
104,阿富汗,2020/06/07,791,30
